gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,22.519859999999884,impl__flydsl_gfx942__16_16_16_False,2.16%,0.0,,0%,22.519859999999884,0,0,0,0.0,0.0,
gfx942,80,1,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,23.67466000000003,impl__flydsl_gfx942__16_16_16_False,3.12%,0.0,,0%,23.67466000000003,0,0,0,0.0,0.0,
gfx942,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,27.890410256410366,impl__flydsl_gfx942__16_16_16_False_True,2.22%,0.0,,0%,27.890410256410366,0,0,0,0.0,0.0,
gfx942,80,2,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,31.308700000000126,impl__flydsl_gfx942__16_16_16_False_True,3.81%,0.0,,0%,31.308700000000126,0,0,0,0.0,0.0,
gfx942,80,4,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,49.47997000000005,impl__flydsl_gfx942__16_16_16_False_True,2.36%,0.0,,0%,49.47997000000005,0,0,0,0.0,0.0,
gfx942,80,4,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,56.16074999999988,impl__flydsl_gfx942__16_16_16_False_True,3.47%,0.0,,0%,56.16074999999988,0,0,0,0.0,0.0,
gfx942,80,8,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,83.05606999999996,impl__flydsl_gfx942__16_16_16_False_True,2.43%,0.0,,0%,83.05606999999996,0,0,0,0.0,0.0,
gfx942,80,8,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,47.6907,moe_ck2stages_gemm1_128x16x64x128_1x2_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_swiglu_F8_F8_B16,0.0%,33.0771,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,3.6%,80.7678,0,0,0,7.01,11306.42,
gfx942,80,16,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,126.37170652173945,impl__flydsl_gfx942__16_16_16_False,2.66%,0.0,,0%,126.37170652173945,0,0,0,0.0,0.0,
gfx942,80,16,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,85.3427,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_swiglu_F8_F8_B16,0.0%,61.6538,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,3.5%,146.9965,0,0,0,7.7,6213.36,
