gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,19.560279999999985,impl__flydsl_gfx942__16_16_16_False,0.04%,0.0,,0%,19.560279999999985,0,0,0,0.0,0.0,
gfx942,80,1,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,26.55510999999977,impl__flydsl_gfx942__16_16_16_False,0.00%,0.0,,0%,26.55510999999977,0,0,0,0.0,0.0,
gfx942,80,1,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,45.60832999999996,impl__flydsl_gfx942__16_16_16_False,0.23%,0.0,,0%,45.60832999999996,0,0,0,0.0,0.0,
gfx942,80,2,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,43.37773000000012,impl__flydsl_gfx942__16_16_16_False,0.00%,0.0,,0%,43.37773000000012,0,0,0,0.0,0.0,
gfx942,80,2,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,50.78059000000037,impl__flydsl_gfx942__16_16_16_False,0.06%,0.0,,0%,50.78059000000037,0,0,0,0.0,0.0,
gfx942,80,2,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,90.16196000000022,impl__flydsl_gfx942__16_16_16_False,0.16%,0.0,,0%,90.16196000000022,0,0,0,0.0,0.0,
gfx942,80,4,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,66.47703000000007,impl__flydsl_gfx942__16_16_16_False,0.01%,0.0,,0%,66.47703000000007,0,0,0,0.0,0.0,
gfx942,80,4,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,84.9860206185569,impl__flydsl_gfx942__16_16_16_False,0.00%,0.0,,0%,84.9860206185569,0,0,0,0.0,0.0,
gfx942,80,4,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,138.2366500000002,impl__flydsl_gfx942__16_16_16_False,0.12%,0.0,,0%,138.2366500000002,0,0,0,0.0,0.0,
gfx942,80,8,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,93.27925510204093,impl__flydsl_gfx942__16_16_16_False,0.02%,0.0,,0%,93.27925510204093,0,0,0,0.0,0.0,
gfx942,80,8,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,138.89365000000038,impl__flydsl_gfx942__16_16_16_False,0.02%,0.0,,0%,138.89365000000038,0,0,0,0.0,0.0,
gfx942,80,8,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,258.19955999999996,impl__flydsl_gfx942__16_16_16_False,0.18%,0.0,,0%,258.19955999999996,0,0,0,0.0,0.0,
gfx942,80,16,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,154.3120800000006,impl__flydsl_gfx942__16_16_16_False,0.02%,0.0,,0%,154.3120800000006,0,0,0,0.0,0.0,
gfx942,80,16,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,212.5500918367349,impl__flydsl_gfx942__16_16_16_False,0.02%,0.0,,0%,212.5500918367349,0,0,0,0.0,0.0,
gfx942,80,16,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,488.0689900000007,impl__flydsl_gfx942__16_16_16_False,0.15%,0.0,,0%,488.0689900000007,0,0,0,0.0,0.0,
gfx942,80,32,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,235.2566100000001,impl__flydsl_gfx942__16_16_16_False,0.01%,0.0,,0%,235.2566100000001,0,0,0,0.0,0.0,
gfx942,80,32,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,392.04795555555546,impl__flydsl_gfx942__16_16_16_False,0.03%,0.0,,0%,392.04795555555546,0,0,0,0.0,0.0,
gfx942,80,32,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,844.8340808080816,impl__flydsl_gfx942__16_16_16_False,0.17%,0.0,,0%,844.8340808080816,0,0,0,0.0,0.0,
gfx942,80,64,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,392.34201010100986,impl__flydsl_gfx942__16_16_16_False,0.01%,0.0,,0%,392.34201010100986,0,0,0,0.0,0.0,
gfx942,80,64,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,617.00494,impl__flydsl_gfx942__16_16_16_False,0.03%,0.0,,0%,617.00494,0,0,0,0.0,0.0,
gfx942,80,64,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,1253.9675957446802,impl__flydsl_gfx942__16_16_16_False,0.16%,0.0,,0%,1253.9675957446802,0,0,0,0.0,0.0,
gfx942,80,128,2560,192,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,492.6902099999999,impl__flydsl_gfx942__16_16_16_False,0.01%,0.0,,0%,492.6902099999999,0,0,0,0.0,0.0,
gfx942,80,128,2560,320,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,809.998,impl__flydsl_gfx942__16_16_16_False,0.03%,0.0,,0%,809.998,0,0,0,0.0,0.0,
gfx942,80,128,2560,640,513,11,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,16,0,1591.059897959184,impl__flydsl_gfx942__16_16_16_False,0.15%,0.0,,0%,1591.059897959184,0,0,0,0.0,0.0,
