gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,15.81667391304362,impl__flydsl_gfx942__16_16_16_False_False,68.16%,0.0,,0%,15.81667391304362,0,0,0,2.19,51015.25,
gfx942,80,2,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,22.224494949494783,impl__flydsl_gfx942__16_16_16_False_True,67.41%,0.0,,0%,22.224494949494783,0,0,0,3.11,36306.96,
gfx942,80,4,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,34.311520000000115,impl__flydsl_gfx942__16_16_16_False_True,66.14%,0.0,,0%,34.311520000000115,0,0,0,4.03,23517.71,
gfx942,80,8,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,58.28042999999994,impl__flydsl_gfx942__16_16_16_False_True,66.26%,0.0,,0%,58.28042999999994,0,0,0,4.75,13846.46,
gfx942,80,16,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,103.40930208333344,impl__flydsl_gfx942__16_16_16_False_False,65.79%,0.0,,0%,103.40930208333344,0,0,0,5.35,7804.67,
gfx942,80,32,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,154.68272448979627,impl__flydsl_gfx942__16_16_16_False_False,65.45%,0.0,,0%,154.68272448979627,0,0,0,7.16,5218.89,
gfx942,80,64,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,228.9237857142856,impl__flydsl_gfx942__16_16_16_False_False,66.27%,0.0,,0%,228.9237857142856,0,0,0,9.67,3528.1,
gfx942,80,128,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,330.2988314606743,impl__flydsl_gfx942__16_16_16_False_False,66.01%,0.0,,0%,330.2988314606743,0,0,0,13.41,2447.64,
gfx942,80,256,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,167.7205,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,204.1248,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.0%,371.8453,0,0,0,23.82,2178.39,
gfx942,80,512,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,414.7951,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x128E,0.0%,0.0,,0.0%,414.7951,1,0,0,42.71,1960.42,
gfx942,80,1024,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,447.4761,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x128E,0.0%,0.0,,0.0%,447.4761,1,0,0,79.19,1831.3,
gfx942,80,2048,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,627.1643578947379,impl__flydsl_gfx942__64_256_128_True_False,1.65%,0.0,,0%,627.1643578947379,0,0,0,113.0,1326.68,
gfx942,80,4096,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1088.067399999998,impl__flydsl_gfx942__64_256_128_True_False,1.67%,0.0,,0%,1088.067399999998,0,0,0,130.26,787.83,
gfx942,80,8192,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,1700.2271086956487,impl__flydsl_gfx942__64_256_128_True_False,1.75%,0.0,,0%,1700.2271086956487,0,0,0,166.72,533.78,
gfx942,80,16384,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,3096.8099489795864,impl__flydsl_gfx942__64_256_128_True_False,1.74%,0.0,,0%,3096.8099489795864,0,0,0,183.07,325.56,
gfx942,80,32768,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,5754.478272727281,impl__flydsl_gfx942__64_256_128_True_False,1.77%,0.0,,0%,5754.478272727281,0,0,0,197.04,210.19,
gfx942,80,65536,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,11197.492061224515,impl__flydsl_gfx942__64_256_128_True_False,1.81%,0.0,,0%,11197.492061224515,0,0,0,202.52,143.98,
gfx942,80,131072,4096,128,513,11,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,21880.666804123746,impl__flydsl_gfx942__64_256_128_True_False,1.80%,0.0,,0%,21880.666804123746,0,0,0,207.28,110.49,
