gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.9148,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_bnt0_kw2_fp4,0.9%,9.1452,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.1%,22.06,0,0,0,11.98,13690.04,
gfx950,256,1,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.77,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_bnt0_kw2_fp4,0.9%,9.1419,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.1%,21.9119,0,0,0,12.06,27564.57,
gfx950,256,1,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.9754,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_bnt0_kw2_fp4,0.9%,9.3882,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.1%,22.3636,0,0,0,11.82,54015.09,
gfx950,256,1,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,16.4982,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.1%,5.9316,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_sbm64,2.5%,22.4298,0,0,0,13.47,107710.8,
gfx950,256,2,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.7596,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_bnt0_fp4,0.1%,12.6474,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.5%,30.407,0,0,0,17.38,9932.4,
gfx950,256,2,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.0291,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0_fp4,0.2%,12.5885,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.7%,31.6176,0,0,0,16.71,19103.42,
gfx950,256,2,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.5777,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0_fp4,0.1%,14.9327,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.4%,34.5104,0,0,0,15.31,35003.48,
gfx950,256,2,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,19.755,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.2%,11.3361,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,2.6%,31.0911,0,0,0,19.42,77705.31,
gfx950,256,4,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.553,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.1%,15.4021,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.3%,35.9551,0,0,0,29.4,8400.45,
gfx950,256,4,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,23.9979,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_fp4,0.2%,18.6188,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.5%,42.6167,0,0,0,24.8,14173.53,
gfx950,256,4,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,32.7775,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.2%,21.8462,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2,2.3%,54.6237,0,0,0,19.35,22115.1,
gfx950,256,4,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,35.5994,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.1%,18.8919,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,2.6%,54.4913,0,0,0,22.17,44336.76,
gfx950,256,8,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.6809,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_bnt0_fp4,0.9%,14.3536,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,1.2%,36.0345,0,0,0,58.66,8383.3,
gfx950,256,8,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,32.1696,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.1%,22.3283,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,2.5%,54.4979,0,0,0,38.79,11084.43,
